[Header]
Application Name	LabSolutions
0,24850	-239
0,24917	-239
0,24983	-239
0,25050	-239
0,25117	-240
0,25183	-240
0,25250	-240
0,25317	-240
0,25383	-241
0,25450	-241
0,25517	-241
0,25583	-241
0,25650	-242
0,25717	-242
0,25783	-242
0,25850	-242
0,25917	-242
0,25983	-242
0,26050	-242
0,26117	-242
0,26183	-243
0,26250	-243
0,26317	-243
0,26383	-243
0,26450	-243
0,26517	-243
0,26583	-244
0,26650	-244
0,26717	-244
0,26783	-245
0,26850	-245
0,26917	-245
0,26983	-246
0,27050	-246
0,27117	-246
0,27183	-246
0,27250	-246
0,27317	-246
0,27383	-246
0,27450	-246
0,27517	-246
0,27583	-246
0,27650	-246
0,27717	-246
0,27783	-246
0,27850	-245
0,27917	-245
0,27983	-245
0,28050	-245
0,28117	-245
0,28183	-245
0,28250	-245
0,28317	-245
0,28383	-245
0,28450	-245
0,28517	-245
0,28583	-245
0,28650	-245
0,28717	-245
0,28783	-245
0,28850	-245
0,28917	-245
0,28983	-245
0,29050	-245
0,29117	-245
0,29183	-245
0,29250	-245
0,29317	-245
0,29383	-245
0,29450	-246
0,29517	-246
0,29583	-246
0,29650	-246
0,29717	-246
0,29783	-246
0,29850	-246
0,29917	-246
0,29983	-246
0,30050	-247
0,30117	-247
0,30183	-247
0,30250	-248
0,30317	-248
0,30383	-248
0,30450	-248
0,30517	-248
0,30583	-248
0,30650	-248
0,30717	-247
0,30783	-247
0,30850	-247
0,30917	-246
0,30983	-246
0,31050	-246
0,31117	-246
0,31183	-246
0,31250	-246
0,31317	-246
0,31383	-246
0,31450	-247
0,31517	-247
0,31583	-248
0,31650	-248
0,31717	-249
0,31783	-249
0,31850	-249
0,31917	-250
0,31983	-250
0,32050	-249
0,32117	-249
0,32183	-249
0,32250	-248
0,32317	-248
0,32383	-248
0,32450	-247
0,32517	-247
0,32583	-247
0,32650	-247
0,32717	-246
0,32783	-246
0,32850	-246
0,32917	-246
0,32983	-246
0,33050	-246
0,33117	-246
0,33183	-246
0,33250	-246
0,33317	-246
0,33383	-246
0,33450	-246
0,33517	-247
0,33583	-247
0,33650	-247
0,33717	-247
0,33783	-247
0,33850	-247
0,33917	-247
0,33983	-247
0,34050	-247
0,34117	-247
0,34183	-247
0,34250	-247
0,34317	-247
0,34383	-248
0,34450	-248
0,34517	-248
0,34583	-248
0,34650	-248
0,34717	-248
0,34783	-248
0,34850	-248
0,34917	-249
0,34983	-249
0,35050	-249
0,35117	-249
0,35183	-249
0,35250	-249
0,35317	-249
0,35383	-249
0,35450	-249
0,35517	-250
0,35583	-250
0,35650	-250
0,35717	-250
0,35783	-251
0,35850	-251
0,35917	-251
0,35983	-252
0,36050	-252
0,36117	-252
0,36183	-252
0,36250	-252
0,36317	-252
0,36383	-252
0,36450	-252
0,36517	-252
0,36583	-253
0,36650	-253
0,36717	-253
